Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.220,1002.550,48.000
1.000,24.000,1002.550,43.830
0.000,23.220,1002.580,47.670
1.000,24.000,1002.560,43.710
0.000,23.220,1002.570,47.480
1.000,24.010,1002.580,43.650
0.000,23.230,1002.600,47.380
1.000,24.010,1002.600,43.620
0.000,23.220,1002.580,47.390
1.000,24.010,1002.560,43.550
0.000,23.230,1002.590,47.400
1.000,24.020,1002.550,43.560
0.000,23.220,1002.560,47.530
1.000,24.020,1002.550,43.560
0.000,23.220,1002.580,47.640
1.000,24.020,1002.570,43.510
0.000,23.220,1002.570,47.600
1.000,24.020,1002.580,43.470
0.000,23.220,1002.570,47.570
1.000,24.020,1002.570,43.420
0.000,23.230,1002.570,47.560
1.000,24.030,1002.560,43.380
0.000,23.230,1002.580,47.780
1.000,24.030,1002.570,43.330
0.000,23.230,1002.550,47.900
1.000,24.040,1002.580,43.310
0.000,23.230,1002.570,48.030
1.000,24.040,1002.590,43.320
0.000,23.230,1002.590,47.690
1.000,24.050,1002.580,43.340
0.000,23.230,1002.590,47.690
1.000,24.050,1002.610,43.330
0.000,23.220,1002.560,47.510
1.000,24.050,1002.570,43.310
0.000,23.230,1002.580,47.420
1.000,24.060,1002.580,43.280
0.000,23.230,1002.590,47.340
1.000,24.060,1002.590,43.260
0.000,23.220,1002.560,47.270
1.000,24.060,1002.560,43.240
0.000,23.230,1002.580,47.380
1.000,24.060,1002.550,43.210
0.000,23.220,1002.570,47.840
1.000,24.060,1002.550,43.210
0.000,23.230,1002.590,47.670
1.000,24.070,1002.560,43.190
0.000,23.220,1002.580,47.490
1.000,24.070,1002.560,43.190
0.000,23.220,1002.570,47.910
1.000,24.070,1002.580,43.180
0.000,23.230,1002.600,48.150
1.000,24.080,1002.550,43.190
0.000,23.230,1002.530,48.440
1.000,24.080,1002.570,43.150
0.000,23.230,1002.560,48.630
1.000,24.080,1002.580,43.120
0.000,23.230,1002.580,48.410
1.000,24.080,1002.570,43.110
0.000,23.220,1002.580,48.010
1.000,24.090,1002.550,43.170
0.000,23.220,1002.580,48.010
1.000,24.090,1002.570,43.060
0.000,23.230,1002.590,47.770
1.000,24.090,1002.560,43.040
0.000,23.230,1002.550,47.680
1.000,24.100,1002.570,43.030
0.000,23.230,1002.540,47.480
1.000,24.100,1002.560,43.020
0.000,23.230,1002.560,47.360
1.000,24.100,1002.540,43.020
0.000,23.230,1002.590,47.290
1.000,24.110,1002.570,43.040
0.000,23.230,1002.560,47.280
1.000,24.110,1002.570,43.040
0.000,23.230,1002.570,47.470
1.000,24.110,1002.560,43.080
0.000,23.230,1002.560,47.360
1.000,24.110,1002.560,43.100
0.000,23.230,1002.540,47.340
1.000,24.120,1002.560,43.130
0.000,23.230,1002.560,47.390
1.000,24.130,1002.560,43.140
0.000,23.230,1002.580,47.380
1.000,24.130,1002.540,43.140
0.000,23.220,1002.630,47.270
1.000,24.130,1002.610,43.130
0.000,23.220,1002.550,47.410
1.000,24.140,1002.550,43.120
0.000,23.230,1002.570,47.850
1.000,24.140,1002.530,43.100
0.000,23.230,1002.540,48.250
1.000,24.140,1002.520,43.080
0.000,23.230,1002.540,48.250
1.000,24.140,1002.500,43.060
0.000,23.230,1002.540,48.640
1.000,24.140,1002.560,43.010
0.000,23.220,1002.530,48.100
1.000,24.150,1002.580,42.930
0.000,23.230,1002.570,48.390
1.000,24.150,1002.560,42.870
0.000,23.230,1002.560,48.420
1.000,24.150,1002.560,42.840
0.000,23.220,1002.550,47.910
1.000,24.150,1002.560,42.840
0.000,23.220,1002.540,47.700
1.000,24.140,1002.560,42.810
0.000,23.230,1002.560,48.130
1.000,24.150,1002.540,42.800
0.000,23.230,1002.580,48.110
1.000,24.150,1002.540,42.770
0.000,23.220,1002.570,47.830
1.000,24.160,1002.540,42.750
0.000,23.220,1002.560,47.630
1.000,24.160,1002.580,42.750
0.000,23.220,1002.540,47.480
1.000,24.160,1002.560,42.750
0.000,23.220,1002.540,47.440
1.000,24.160,1002.550,42.750
0.000,23.220,1002.560,47.320
1.000,24.170,1002.550,42.760
0.000,23.220,1002.540,47.250
1.000,24.180,1002.560,42.760
0.000,23.230,1002.560,47.200
1.000,24.180,1002.540,42.780
0.000,23.230,1002.560,47.200
1.000,24.180,1002.530,42.790
0.000,23.220,1002.560,47.200
1.000,24.180,1002.510,42.790
0.000,23.220,1002.540,47.170
1.000,24.190,1002.520,42.790
0.000,23.220,1002.550,47.170
1.000,24.200,1002.540,42.800
0.000,23.220,1002.550,47.140
1.000,24.200,1002.540,42.800
0.000,23.210,1002.550,47.130
1.000,24.210,1002.540,42.810
0.000,23.220,1002.560,47.180
1.000,24.210,1002.520,42.810
0.000,23.220,1002.560,47.480
1.000,24.210,1002.530,42.790
0.000,23.220,1002.550,47.670
1.000,24.210,1002.540,42.780
0.000,23.220,1002.560,47.490
1.000,24.210,1002.520,42.770
0.000,23.220,1002.550,47.330
1.000,24.220,1002.520,42.730
0.000,23.220,1002.540,47.270
1.000,24.220,1002.530,42.750
0.000,23.220,1002.550,47.350
1.000,24.220,1002.520,42.740
0.000,23.230,1002.590,47.550
1.000,24.220,1002.520,42.730
0.000,23.220,1002.560,48.000
1.000,24.230,1002.520,42.710
0.000,23.220,1002.550,47.970
1.000,24.230,1002.530,42.720
0.000,23.220,1002.550,47.970
1.000,24.230,1002.550,42.710
0.000,23.220,1002.540,47.740
1.000,24.240,1002.550,42.720
0.000,23.220,1002.550,47.620
1.000,24.240,1002.550,42.720
0.000,23.220,1002.560,47.550
1.000,24.240,1002.550,42.720
0.000,23.220,1002.550,47.550
1.000,24.240,1002.550,42.700
0.000,23.230,1002.560,47.500
1.000,24.240,1002.520,42.690
0.000,23.230,1002.540,47.540
1.000,24.250,1002.540,42.690
0.000,23.230,1002.550,47.620
1.000,24.250,1002.540,42.690
0.000,23.230,1002.570,47.670
1.000,24.250,1002.530,42.720
0.000,23.230,1002.590,47.480
1.000,24.250,1002.520,42.730
0.000,23.230,1002.560,47.380
1.000,24.260,1002.560,42.750
0.000,23.230,1002.550,47.330
1.000,24.260,1002.550,42.780
0.000,23.230,1002.530,47.510
1.000,24.260,1002.530,42.790
0.000,23.240,1002.580,47.600
1.000,24.260,1002.550,42.800
0.000,23.240,1002.550,47.860
1.000,24.260,1002.540,42.810
