Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.510,1002.490,47.700
1.000,24.860,1002.490,43.100
0.000,23.510,1002.510,47.670
1.000,24.860,1002.490,43.100
0.000,23.510,1002.510,47.670
1.000,24.860,1002.510,43.150
0.000,23.510,1002.500,47.770
1.000,24.860,1002.500,43.240
0.000,23.510,1002.520,47.780
1.000,24.860,1002.490,43.340
0.000,23.510,1002.490,47.800
1.000,24.870,1002.510,43.400
0.000,23.510,1002.490,48.030
1.000,24.860,1002.470,43.390
0.000,23.510,1002.470,48.390
1.000,24.870,1002.490,43.370
0.000,23.510,1002.480,48.600
1.000,24.870,1002.490,43.390
0.000,23.510,1002.460,48.500
1.000,24.880,1002.500,43.350
0.000,23.510,1002.490,48.220
1.000,24.880,1002.520,43.380
0.000,23.510,1002.500,48.020
1.000,24.880,1002.490,43.330
0.000,23.510,1002.490,47.980
1.000,24.880,1002.520,43.260
0.000,23.510,1002.500,47.930
1.000,24.880,1002.520,43.210
0.000,23.510,1002.510,48.090
1.000,24.890,1002.520,43.190
0.000,23.510,1002.480,48.280
1.000,24.890,1002.530,43.150
0.000,23.510,1002.500,48.270
1.000,24.890,1002.530,43.130
0.000,23.510,1002.480,48.360
1.000,24.890,1002.530,43.130
0.000,23.510,1002.480,48.430
1.000,24.890,1002.510,43.180
0.000,23.510,1002.480,48.430
1.000,24.890,1002.530,43.170
0.000,23.510,1002.490,48.460
1.000,24.900,1002.530,43.150
0.000,23.500,1002.500,48.250
1.000,24.900,1002.550,43.140
0.000,23.500,1002.500,48.170
1.000,24.900,1002.530,43.140
0.000,23.510,1002.480,48.020
1.000,24.900,1002.530,43.130
0.000,23.500,1002.500,47.940
1.000,24.900,1002.500,43.110
0.000,23.510,1002.500,48.030
1.000,24.900,1002.530,43.100
0.000,23.510,1002.500,48.020
1.000,24.910,1002.510,43.080
0.000,23.500,1002.520,47.990
1.000,24.910,1002.510,43.080
0.000,23.510,1002.540,47.940
1.000,24.910,1002.510,43.050
0.000,23.510,1002.500,48.060
1.000,24.910,1002.510,43.000
0.000,23.510,1002.490,48.160
1.000,24.910,1002.520,42.990
0.000,23.510,1002.500,48.120
1.000,24.920,1002.530,42.960
0.000,23.510,1002.510,48.020
1.000,24.910,1002.520,42.930
0.000,23.510,1002.490,48.020
1.000,24.910,1002.520,42.930
0.000,23.510,1002.470,48.120
1.000,24.920,1002.500,42.910
0.000,23.510,1002.460,48.450
1.000,24.920,1002.510,42.890
0.000,23.510,1002.460,48.450
1.000,24.920,1002.500,42.900
0.000,23.510,1002.470,49.200
1.000,24.920,1002.520,42.900
0.000,23.510,1002.490,49.820
1.000,24.920,1002.520,42.940
0.000,23.510,1002.470,49.280
1.000,24.920,1002.490,42.970
0.000,23.520,1002.500,48.930
1.000,24.920,1002.500,42.960
0.000,23.510,1002.480,48.620
1.000,24.930,1002.510,42.940
0.000,23.510,1002.510,48.380
1.000,24.920,1002.530,42.990
0.000,23.510,1002.480,48.220
1.000,24.930,1002.550,42.980
0.000,23.500,1002.480,48.160
1.000,24.920,1002.530,43.100
0.000,23.510,1002.480,48.440
1.000,24.930,1002.520,43.140
0.000,23.510,1002.490,48.480
1.000,24.930,1002.530,43.160
0.000,23.510,1002.500,48.320
1.000,24.930,1002.510,43.180
0.000,23.510,1002.500,48.200
1.000,24.930,1002.510,43.220
0.000,23.510,1002.510,48.070
1.000,24.930,1002.510,43.220
0.000,23.510,1002.480,48.020
1.000,24.930,1002.510,43.250
0.000,23.510,1002.480,48.080
1.000,24.930,1002.500,43.270
0.000,23.510,1002.490,48.130
1.000,24.930,1002.530,43.300
0.000,23.510,1002.520,48.070
1.000,24.940,1002.520,43.250
0.000,23.510,1002.520,48.070
1.000,24.940,1002.490,43.220
0.000,23.510,1002.490,48.010
1.000,24.940,1002.530,43.210
0.000,23.500,1002.490,48.080
1.000,24.940,1002.530,43.250
0.000,23.510,1002.500,48.130
1.000,24.940,1002.510,43.370
0.000,23.510,1002.450,48.210
1.000,24.950,1002.500,43.460
0.000,23.500,1002.500,48.210
1.000,24.950,1002.500,43.510
0.000,23.510,1002.520,48.240
1.000,24.950,1002.480,43.510
0.000,23.510,1002.490,48.300
1.000,24.960,1002.530,43.540
0.000,23.510,1002.490,49.290
1.000,24.960,1002.460,43.540
0.000,23.510,1002.470,49.820
1.000,24.970,1002.460,43.540
0.000,23.510,1002.480,49.930
1.000,24.970,1002.480,43.500
0.000,23.510,1002.500,49.350
1.000,24.970,1002.480,43.500
0.000,23.520,1002.500,49.080
1.000,24.980,1002.460,43.490
0.000,23.510,1002.500,49.200
1.000,24.980,1002.470,43.480
0.000,23.520,1002.480,49.030
1.000,24.980,1002.490,43.440
0.000,23.520,1002.490,48.840
1.000,24.990,1002.510,43.400
0.000,23.520,1002.490,48.840
1.000,24.990,1002.480,43.400
0.000,23.520,1002.510,48.620
1.000,24.990,1002.490,43.400
0.000,23.520,1002.500,48.480
1.000,24.990,1002.500,43.420
0.000,23.520,1002.530,48.350
1.000,24.990,1002.470,43.410
0.000,23.520,1002.500,48.340
1.000,24.990,1002.480,43.290
0.000,23.520,1002.490,48.350
1.000,24.990,1002.490,43.210
0.000,23.520,1002.500,48.560
1.000,24.990,1002.490,43.150
0.000,23.520,1002.530,49.020
1.000,24.990,1002.480,43.100
0.000,23.520,1002.510,49.000
1.000,24.990,1002.490,43.030
0.000,23.520,1002.470,48.870
1.000,25.000,1002.500,43.140
0.000,23.530,1002.510,49.310
1.000,25.000,1002.500,43.190
0.000,23.520,1002.500,49.020
1.000,25.000,1002.500,43.190
0.000,23.520,1002.500,48.940
1.000,25.000,1002.480,43.160
0.000,23.520,1002.490,48.630
1.000,25.010,1002.490,43.140
0.000,23.520,1002.480,48.500
1.000,25.010,1002.510,43.190
0.000,23.520,1002.460,48.380
1.000,25.010,1002.470,43.200
0.000,23.520,1002.520,48.270
1.000,25.010,1002.490,43.210
0.000,23.520,1002.520,48.270
1.000,25.010,1002.480,43.220
0.000,23.520,1002.490,48.380
1.000,25.010,1002.500,43.210
0.000,23.520,1002.510,49.360
1.000,25.010,1002.510,43.170
0.000,23.520,1002.490,49.490
1.000,25.010,1002.490,43.140
0.000,23.520,1002.480,48.950
1.000,25.010,1002.500,43.130
0.000,23.520,1002.530,48.630
1.000,25.010,1002.490,43.090
0.000,23.530,1002.500,48.470
1.000,25.010,1002.500,43.070
0.000,23.530,1002.510,48.360
1.000,25.010,1002.500,43.120
0.000,23.530,1002.490,48.260
1.000,25.010,1002.500,43.110
0.000,23.520,1002.500,48.170
1.000,25.010,1002.500,43.110
0.000,23.530,1002.510,48.120
1.000,25.010,1002.500,43.080
0.000,23.530,1002.510,48.110
1.000,25.010,1002.460,43.090
0.000,23.530,1002.510,48.170
1.000,25.010,1002.490,43.080
0.000,23.530,1002.510,48.930
1.000,25.010,1002.480,43.060
0.000,23.530,1002.480,49.610
1.000,25.010,1002.480,43.050
0.000,23.530,1002.490,49.720
1.000,25.010,1002.510,43.020
0.000,23.530,1002.490,49.720
1.000,25.010,1002.500,43.010
0.000,23.530,1002.490,49.230
1.000,25.010,1002.490,43.010
0.000,23.530,1002.490,48.800
1.000,25.010,1002.490,43.070
0.000,23.530,1002.510,48.510
1.000,25.010,1002.500,43.060
0.000,23.530,1002.480,48.330
1.000,25.010,1002.480,43.050
0.000,23.530,1002.480,48.270
1.000,25.010,1002.500,43.000
0.000,23.530,1002.480,48.300
1.000,25.010,1002.480,42.930
0.000,23.540,1002.510,48.410
1.000,25.010,1002.490,42.880
0.000,23.540,1002.500,48.520
1.000,25.000,1002.470,42.880
0.000,23.530,1002.460,48.900
1.000,25.000,1002.470,42.880
0.000,23.540,1002.500,49.080
1.000,25.000,1002.480,42.880
0.000,23.530,1002.480,48.930
1.000,25.010,1002.470,42.950
0.000,23.540,1002.500,48.710
1.000,25.000,1002.490,42.980
0.000,23.550,1002.520,48.850
1.000,25.000,1002.500,42.990
0.000,23.550,1002.480,49.330
1.000,25.000,1002.500,42.980
0.000,23.550,1002.490,49.320
1.000,25.000,1002.470,42.980
0.000,23.550,1002.460,48.920
1.000,25.010,1002.480,42.950
0.000,23.550,1002.460,48.920
1.000,25.010,1002.470,42.950
0.000,23.550,1002.480,48.560
1.000,25.000,1002.440,42.960
0.000,23.550,1002.510,48.400
1.000,25.010,1002.480,42.980
0.000,23.550,1002.470,48.680
1.000,25.010,1002.460,43.050
0.000,23.550,1002.460,48.970
1.000,25.010,1002.460,43.120
0.000,23.550,1002.490,49.610
1.000,25.010,1002.490,43.180
0.000,23.550,1002.490,49.470
1.000,25.010,1002.470,43.210
0.000,23.550,1002.480,49.670
1.000,25.010,1002.470,43.190
0.000,23.550,1002.460,49.460
1.000,25.010,1002.460,43.170
0.000,23.550,1002.470,48.880
1.000,25.010,1002.460,43.170
0.000,23.560,1002.490,48.540
1.000,25.010,1002.470,43.050
0.000,23.560,1002.500,48.350
1.000,25.010,1002.480,42.930
0.000,23.550,1002.480,48.220
1.000,25.010,1002.440,42.880
0.000,23.560,1002.490,48.280
1.000,25.010,1002.450,42.880
0.000,23.560,1002.490,48.900
1.000,25.010,1002.460,42.910
0.000,23.560,1002.480,49.140
1.000,25.010,1002.460,42.990
0.000,23.560,1002.470,49.350
1.000,25.010,1002.460,42.980
0.000,23.560,1002.460,49.010
1.000,25.010,1002.470,42.910
0.000,23.560,1002.460,49.010
