Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.250,1002.570,47.420
1.000,24.630,1002.580,47.150
0.000,23.250,1002.570,47.420
1.000,24.620,1002.580,46.380
0.000,23.250,1002.560,47.350
1.000,24.630,1002.560,46.230
0.000,23.240,1002.510,47.240
1.000,24.630,1002.590,46.590
0.000,23.250,1002.530,47.300
1.000,24.640,1002.590,48.080
0.000,23.250,1002.550,47.370
1.000,24.640,1002.590,48.970
0.000,23.240,1002.570,47.260
1.000,24.650,1002.620,48.850
0.000,23.250,1002.530,47.210
1.000,24.650,1002.610,48.540
0.000,23.250,1002.550,47.210
1.000,24.650,1002.590,47.830
0.000,23.250,1002.560,47.180
1.000,24.650,1002.600,47.240
0.000,23.250,1002.560,47.130
1.000,24.660,1002.580,45.910
0.000,23.250,1002.540,47.340
1.000,24.660,1002.590,44.560
0.000,23.250,1002.580,47.240
1.000,24.670,1002.580,43.810
0.000,23.240,1002.540,47.130
1.000,24.670,1002.580,43.750
0.000,23.260,1002.560,47.090
1.000,24.670,1002.580,44.410
0.000,23.250,1002.580,47.050
1.000,24.670,1002.580,44.410
0.000,23.250,1002.570,47.100
1.000,24.670,1002.580,45.700
0.000,23.250,1002.570,47.100
1.000,24.670,1002.570,45.360
0.000,23.250,1002.560,47.060
1.000,24.670,1002.620,44.910
0.000,23.250,1002.560,47.100
1.000,24.670,1002.590,44.540
0.000,23.250,1002.550,47.610
1.000,24.670,1002.610,44.280
0.000,23.250,1002.550,47.880
1.000,24.670,1002.600,44.080
0.000,23.260,1002.580,48.200
1.000,24.680,1002.610,43.930
0.000,23.260,1002.600,47.950
1.000,24.670,1002.600,43.770
0.000,23.260,1002.620,47.630
1.000,24.680,1002.600,43.390
0.000,23.260,1002.620,47.480
1.000,24.670,1002.610,42.940
0.000,23.260,1002.600,47.370
1.000,24.670,1002.610,42.820
0.000,23.260,1002.610,47.390
1.000,24.670,1002.590,42.850
0.000,23.270,1002.610,47.620
1.000,24.680,1002.580,42.850
0.000,23.260,1002.600,47.810
1.000,24.680,1002.590,42.800
0.000,23.260,1002.570,47.810
1.000,24.680,1002.590,42.800
0.000,23.260,1002.580,47.470
1.000,24.680,1002.610,42.670
0.000,23.260,1002.580,47.290
1.000,24.680,1002.590,42.510
0.000,23.260,1002.580,47.290
1.000,24.680,1002.560,43.440
0.000,23.260,1002.570,47.200
1.000,24.680,1002.570,44.450
0.000,23.260,1002.570,47.530
1.000,24.680,1002.540,43.900
0.000,23.260,1002.550,47.890
1.000,24.690,1002.550,43.450
0.000,23.260,1002.540,47.600
1.000,24.690,1002.560,45.140
0.000,23.270,1002.580,47.470
1.000,24.690,1002.560,45.090
0.000,23.260,1002.590,47.270
1.000,24.690,1002.580,44.530
0.000,23.270,1002.590,47.170
1.000,24.690,1002.610,44.350
0.000,23.270,1002.590,47.160
1.000,24.690,1002.580,44.300
0.000,23.270,1002.590,47.330
1.000,24.700,1002.590,44.260
0.000,23.270,1002.590,47.570
1.000,24.700,1002.590,43.980
0.000,23.270,1002.590,47.680
1.000,24.710,1002.580,43.770
0.000,23.280,1002.610,47.500
1.000,24.710,1002.580,43.770
0.000,23.280,1002.610,47.300
1.000,24.710,1002.620,44.780
0.000,23.280,1002.610,47.180
1.000,24.710,1002.580,45.410
0.000,23.270,1002.620,47.100
1.000,24.720,1002.600,45.500
0.000,23.280,1002.610,47.070
1.000,24.710,1002.580,44.070
0.000,23.280,1002.610,47.070
1.000,24.720,1002.580,43.780
0.000,23.280,1002.600,47.040
1.000,24.720,1002.570,44.250
0.000,23.280,1002.600,47.230
1.000,24.730,1002.570,45.940
0.000,23.280,1002.560,47.500
1.000,24.730,1002.580,47.330
0.000,23.280,1002.590,47.990
1.000,24.730,1002.550,46.730
0.000,23.280,1002.590,48.170
1.000,24.740,1002.570,46.010
0.000,23.280,1002.570,48.680
1.000,24.740,1002.560,45.340
0.000,23.280,1002.560,48.450
1.000,24.740,1002.560,44.440
0.000,23.280,1002.550,48.260
1.000,24.730,1002.530,44.410
0.000,23.280,1002.560,48.190
1.000,24.730,1002.520,44.450
0.000,23.290,1002.580,48.170
1.000,24.730,1002.550,44.500
0.000,23.280,1002.550,48.010
1.000,24.730,1002.550,44.500
0.000,23.290,1002.570,48.000
1.000,24.730,1002.550,43.810
0.000,23.290,1002.570,47.970
1.000,24.730,1002.540,43.440
0.000,23.290,1002.550,47.850
1.000,24.730,1002.540,43.350
0.000,23.290,1002.580,47.580
1.000,24.730,1002.550,43.270
0.000,23.290,1002.580,47.580
1.000,24.720,1002.540,43.210
0.000,23.290,1002.580,47.390
1.000,24.720,1002.540,43.090
0.000,23.290,1002.580,47.310
1.000,24.710,1002.540,43.030
0.000,23.290,1002.600,47.210
1.000,24.710,1002.560,43.030
0.000,23.280,1002.590,47.160
1.000,24.710,1002.550,43.110
0.000,23.290,1002.580,47.140
1.000,24.710,1002.570,42.840
0.000,23.290,1002.580,47.180
1.000,24.710,1002.580,42.610
0.000,23.290,1002.590,47.250
1.000,24.700,1002.590,42.430
0.000,23.290,1002.590,47.230
1.000,24.690,1002.570,42.250
0.000,23.290,1002.590,47.140
1.000,24.690,1002.580,42.180
0.000,23.300,1002.640,47.230
1.000,24.690,1002.580,42.180
0.000,23.300,1002.580,47.350
1.000,24.700,1002.570,42.270
0.000,23.300,1002.610,47.210
1.000,24.710,1002.560,42.350
0.000,23.290,1002.580,47.160
1.000,24.700,1002.540,42.450
0.000,23.290,1002.580,47.250
1.000,24.700,1002.520,42.490
0.000,23.290,1002.580,47.250
1.000,24.710,1002.550,42.510
0.000,23.290,1002.580,47.600
1.000,24.710,1002.520,42.530
0.000,23.300,1002.590,48.150
1.000,24.700,1002.520,42.470
0.000,23.290,1002.560,48.150
1.000,24.710,1002.540,42.410
0.000,23.300,1002.570,47.920
1.000,24.700,1002.540,42.370
0.000,23.290,1002.580,47.860
1.000,24.700,1002.540,42.380
0.000,23.300,1002.580,48.080
1.000,24.710,1002.550,42.420
0.000,23.300,1002.620,48.410
1.000,24.710,1002.540,42.380
0.000,23.300,1002.600,48.140
1.000,24.700,1002.560,42.540
0.000,23.300,1002.570,48.020
1.000,24.700,1002.550,42.590
0.000,23.300,1002.590,48.140
1.000,24.700,1002.550,42.590
0.000,23.300,1002.560,48.380
1.000,24.700,1002.540,42.550
0.000,23.300,1002.590,48.490
1.000,24.690,1002.530,42.520
0.000,23.300,1002.570,48.270
1.000,24.700,1002.520,42.480
0.000,23.300,1002.550,48.230
1.000,24.690,1002.580,42.440
0.000,23.310,1002.560,48.350
1.000,24.680,1002.550,42.420
0.000,23.310,1002.560,48.350
1.000,24.680,1002.530,42.390
0.000,23.310,1002.590,48.690
1.000,24.680,1002.540,42.390
0.000,23.310,1002.600,48.940
1.000,24.670,1002.550,42.380
0.000,23.300,1002.570,48.510
1.000,24.670,1002.540,42.390
0.000,23.300,1002.590,47.920
1.000,24.670,1002.550,42.390
0.000,23.300,1002.590,47.620
1.000,24.670,1002.540,42.390
0.000,23.310,1002.630,47.630
1.000,24.660,1002.570,42.400
